studno,studentname,birthday,degree,major,unitsearned
1994-79031,Celia Collen,1997-03-24,Bachelor of Science in Applied Physics,sit amet eleifend,133
1999-30048,Tim Knowlman,1999-02-12,Bachelor of Science in Development Communication,non mi,191
2014-58471,Nanon Huzzay,1990-03-05,Bachelor of Science in Mathematics,ut suscipit,63
2000-15719,Judas MacKee,1991-12-15,Bachelor of Science in Agricultural Chemistry,ultrices,103
1997-64895,Randi Denniss,1992-10-14,Bachelor of Science in Mathematics,lectus in quam,197
2016-80566,Simone Arend,1996-07-16,Bachelor of Science in Agricultural Engineering,cum sociis natoque,101
2000-89058,Lilia Jaggar,1994-04-06,Bachelor of Science in Development Communication,lorem ipsum dolor,41
1995-84525,Annadiana Killgus,1993-06-15,Bachelor of Science in Computer Science,tristique,94
2012-60981,Netta Quinnell,1996-07-29,Bachelor of Science in Agribusiness Management,in,108
1996-79060,Sallie Cruttenden,1998-09-13,Bachelor of Science in Forest Products Engineering,luctus,148
2010-61740,Erek Kynan,1991-07-13,Bachelor of Science in Sugar Technology,augue a suscipit,97
2011-37097,Sheilah Lambin,1991-12-19,Bachelor of Science in Agricultural Education,varius,196
2012-41746,Orran Bautiste,1991-11-14,Bachelor of Science in Industrial Engineering,aenean,174
2015-87681,Juliet Maharey,1994-10-21,Bachelor of Science in Agricultural Chemistry,ut rhoncus aliquet,22
1998-05247,Neron Freeborn,1996-12-10,Bachelor of Science in Forest Products Engineering,hendrerit at vulputate,183
2015-57598,Dar Hengoed,1995-11-27,Bachelor of Science in Mathematics,sollicitudin,18
1990-55251,Kaine Potell,1995-04-09,Bachelor of Science in Agricultural and Biosystems Engineering,maecenas,150
2013-40888,Petronia Kumaar,1994-04-02,Bachelor of Agriculture,ipsum ac tellus,111
2006-04854,Bonnie Quinet,1994-07-23,Bachelor of Science in Applied Physics,in sapien iaculis,46
1995-80294,Nance Rudiger,1994-02-16,Bachelor of Science in Statistics,in quam,166
2018-49627,Vidovik Kedwell,1998-08-21,Bachelor of Science in Agricultural Chemistry,congue risus semper,165
2008-06190,Menard Yewdall,2000-05-31,Bachelor of Science in Agricultural Extension,purus,60
2013-05990,Dael Winsome,1997-12-12,Bachelor of Science in Electrical Engineering,nulla nunc purus,149
1991-36392,Pepita Bryant,1992-01-19,Bachelor of Science in Chemical Engineering,facilisi,159
2000-74012,Corilla Parram,1992-11-17,Bachelor of Arts in Philosophy,amet sem,143
1995-66723,Coralyn Kittow,2000-03-06,Bachelor of Science in Botany,gravida nisi,34
2001-89619,Josy Umfrey,1999-01-20,Bachelor of Science in Industrial Engineering,eu est,112
2011-13518,Evyn Songist,1992-01-31,Bachelor of Science in Forest Products Engineering,lacinia sapien,188
2015-20406,Caldwell Curtain,1990-06-03,Bachelor of Science in Zoology,sollicitudin,61
2011-27996,Norma Jirousek,1994-09-08,Bachelor of Science in Agricultural Chemistry,ac nulla,166
1999-30169,Casar Hartlebury,1992-04-07,Bachelor of Science in Electrical Engineering,sed interdum venenatis,105
2002-00264,Heidie Chamberlain,2000-01-26,Bachelor of Science in Food Technology,etiam justo etiam,5
2007-64930,Norrie Checcucci,1991-06-08,Bachelor of Science in Botany,convallis morbi,21
2019-12221,Margette Ribbens,1998-03-29,Bachelor of Science in Electrical Engineering,integer,117
2002-25579,Shelden Slowey,1997-08-11,Bachelor of Science in Food Technology,erat quisque erat,120
2004-28152,Alayne Carbett,1991-11-04,Bachelor of Science in Agriculture,in,6
1996-83495,Vina Bonnaire,1996-12-12,Bachelor of Science in Civil Engineering,amet erat,187
2006-81165,Viviene Phillott,1993-09-17,Bachelor of Science in Agricultural Business,convallis tortor risus,45
1992-85606,Porty Piercy,1990-07-18,Bachelor of Science in Home Technology,magna,163
2002-35643,Lynna Rendall,1996-03-19,Bachelor of Science in Human Ecology,sit amet,82
2003-88314,Lorne MacRonald,1998-09-02,Bachelor of Science in Agriculture,in,72
2010-13132,Hyacinthe Ferruzzi,1999-04-18,Bachelor of Science in Chemical Engineering,nam,39
2011-94854,Syman Speller,1995-06-18,Bachelor of Science in Sugar Technology,turpis eget,79
2010-61274,Federica Rutgers,1999-11-07,Bachelor of Science in Food Technology,sapien arcu,175
2010-84977,Tuckie Venour,1992-03-12,Bachelor of Science in Mathematics,adipiscing lorem vitae,75
2013-92447,Currie Kirlin,1992-03-04,Bachelor of Science in Nutrition,lobortis,191
1995-12151,Carroll Napoleone,1998-07-21,Bachelor of Science in Chemistry,maecenas leo,18
2001-30729,Brigg Wais,1997-07-25,Bachelor of Science in Computer Science,felis,184
2017-67831,Delila Trulock,1991-04-15,Bachelor of Science in Electrical Engineering,magnis dis,149
2017-57978,Winna Devennie,1990-04-07,Bachelor of Science in Chemistry,erat,13
2009-80362,Bradford Emmines,1995-09-05,Bachelor of Arts in Philosophy,vitae mattis,92
2003-47000,Veronique Korneichuk,1997-04-19,Bachelor of Science in Agriculture,vel augue,140
2013-67865,Emmeline Ausello,1998-05-18,Bachelor of Science in Chemical Engineering,sed,124
1990-33751,Teresa Cluitt,2000-11-16,Bachelor of Science in Forestry,a,118
1994-88370,Helenelizabeth Sunock,1992-01-13,Bachelor of Science in Agricultural Economics,integer tincidunt,169
2014-49325,Carly Georgiev,1995-04-19,Bachelor of Science in Development Communication,consequat metus sapien,75
1998-13466,Pascale Flight,1993-01-26,Bachelor of Science in Agricultural Extension,nulla pede,163
1997-24639,Valeria Charity,1993-07-11,Bachelor of Science in Math and Science Teaching,fermentum,45
2018-80612,Jard Sealand,1997-01-07,Bachelor of Arts in Communication Arts,ornare imperdiet,62
1996-31750,Cornall Cashell,1997-04-27,Bachelor of Science in Agricultural Economics,eros,21
1990-26200,Teddy Murrthum,1998-12-28,Bachelor of Science in Chemical Engineering,at vulputate vitae,40
2011-31585,Kaleena Thal,1998-09-24,Bachelor of Science in Economics,lobortis,124
2004-25730,Mable Deporte,1990-06-22,Bachelor of Science in Industrial Engineering,libero non mattis,179
2014-55161,Jenelle McCafferty,1990-04-19,Bachelor of Science in Home Technology,placerat praesent blandit,58
2000-35192,Emanuel Tapply,1991-11-01,Bachelor of Science in Zoology,at nunc commodo,60
2003-68720,Celeste Painswick,1995-08-11,Bachelor of Science in Civil Engineering,ligula,45
2014-75221,Hastie Dumke,1997-11-11,Bachelor of Science in Home Technology,aliquam sit amet,76
1997-66694,Domenic Spanswick,1996-07-22,Bachelor of Science in Sugar Technology,risus semper,154
2019-63649,Caspar McCulloch,1995-09-02,Bachelor of Science in Agribusiness Management,at nulla suspendisse,163
2005-08933,Trstram Volonte,1999-10-05,Bachelor of Science in Agricultural Education,in magna bibendum,178
2007-39581,Basilio Murfill,2000-05-17,Bachelor of Science in Biology,sit amet consectetuer,134
2004-33309,Claudianus Cleevely,1996-11-25,Bachelor of Science in Human Ecology,congue risus,50
2013-06508,Skyler Copin,1993-06-02,Bachelor of Science in Human Ecology,vestibulum ante ipsum,37
2009-45621,Xaviera Esposito,1990-07-05,Bachelor of Science in Agricultural and Biosystems Engineering,quis lectus suspendisse,157
2002-99377,Lurleen Blick,1993-01-09,Bachelor of Arts in Philosophy,enim leo rhoncus,57
2007-34946,Marion Antonat,1995-01-04,Bachelor of Science in Agricultural Extension,ornare,104
2014-59085,Hewet Tynewell,1993-09-02,Bachelor of Science in Civil Engineering,ac,2
2017-14066,Christoper Yves,1991-01-03,Bachelor of Science in Applied Physics,magnis dis parturient,24
2017-21601,Ermin Bollum,1993-05-09,Bachelor of Science in Zoology,ante,115
2007-31655,Todd Kiessel,1993-06-08,Bachelor of Science in Chemical Engineering,egestas metus,50
2018-58154,Toddy Winchcum,1994-05-04,Bachelor of Science in Chemical Engineering,integer ac leo,171
2013-36988,Quent Forrestall,2000-10-03,Bachelor of Science in Industrial Engineering,imperdiet nullam,170
2016-01667,Karla Tunnicliff,1997-05-05,Bachelor of Science in Forestry,nam dui proin,199
2010-51815,Chester Bocken,1995-01-06,Bachelor of Science in Agricultural Chemistry,dictumst morbi vestibulum,20
2017-56862,Camila Lacroux,1991-10-25,Bachelor of Science in Agricultural Economics,eros,181
2011-49943,Luz Tattam,1994-07-09,Bachelor of Science in Agricultural and Biosystems Engineering,quam turpis adipiscing,79
2012-45175,Dolorita Meininking,1995-11-15,Bachelor of Science in Industrial Engineering,purus,54
2013-49359,Merola Dassindale,1994-12-06,Bachelor of Science in Agricultural Education,vestibulum,139
2003-77461,Yvon Chadburn,1990-05-30,Bachelor of Science in Botany,sed lacus,104
2014-54098,Celie Lightewood,1990-10-14,Bachelor of Science in Agricultural Economics,sed augue,35
2013-06055,Yale Mouncher,1993-08-02,Bachelor of Science in Forestry,ut erat curabitur,110
2004-47634,Andris Itzak,1995-09-26,Bachelor of Science in Industrial Engineering,dui vel sem,49
1992-72124,Conroy Jeayes,1991-04-02,Bachelor of Science in Agriculture,consectetuer adipiscing elit,126
2005-47787,Thadeus Birtchnell,1994-03-17,Bachelor of Science in Economics,eu sapien,74
2013-56134,Helyn Chesterman,2000-03-20,Bachelor of Science in Agricultural and Biosystems Engineering,magna bibendum,191
2017-93995,Maison Geeraert,1998-04-29,Bachelor of Science in Human Ecology,rhoncus,124
2006-84217,Antony Kenshole,1993-09-07,Bachelor of Science in Economics,pede,121
1990-45011,Andreas Wakeling,1992-06-01,Bachelor of Science in Math and Science Teaching,sapien cum,25
2004-70721,Sayre Knevet,1995-03-13,Bachelor of Science in Math and Science Teaching,dolor,19
2015-84744,Hendrick Phythean,1992-11-17,Bachelor of Science in Forestry,lacus morbi,77
2003-92560,Erek Bellfield,1992-12-21,Bachelor of Science in Civil Engineering,nisl duis bibendum,38
2014-13133,Dallis Dacres,2000-11-16,Bachelor of Science in Applied Physics,fusce consequat nulla,11
2014-87294,Alisun Liell,1995-01-17,Bachelor of Science in Economics,cubilia curae,121
1994-38522,Jocelyn Sline,1993-09-19,Bachelor of Agriculture,in sapien iaculis,168
2011-64689,Hadleigh Brunelli,2000-11-21,Bachelor of Science in Electrical Engineering,morbi sem mauris,142
1991-63755,Amelina Edy,1992-05-09,Bachelor of Science in Agricultural Education,consequat lectus in,5
2006-16422,Linn Clute,1994-07-10,Bachelor of Science in Economics,nulla,165
1999-04061,Esmeralda Cropp,1994-12-09,Bachelor of Science in Human Ecology,suspendisse ornare consequat,47
2010-88374,Allene Mertel,1999-07-09,Bachelor of Agriculture,donec semper,66
2013-73733,Prudence Miranda,2000-02-25,Bachelor of Science in Agricultural Extension,phasellus sit amet,90
2010-02190,Cass Caldeyroux,1991-09-27,Bachelor of Science in Agricultural Extension,ultrices posuere cubilia,174
2018-60199,Job Middlehurst,1997-12-15,Bachelor of Science in Math and Science Teaching,vel,188
2012-67679,Stepha Blewitt,1992-07-21,Bachelor of Science in Development Communication,bibendum felis sed,172
2003-58999,Jarid Whitney,2000-04-26,Bachelor of Science in Agribusiness Management,adipiscing molestie hendrerit,91
2001-80864,Elvyn Murfett,1994-06-15,Bachelor of Science in Botany,volutpat erat quisque,195
1995-03144,Barri Noods,1994-11-20,Bachelor of Science in Human Ecology,proin,82
2018-25918,Allx Rosenthal,1996-11-20,Bachelor of Science in Agricultural and Biosystems Engineering,bibendum imperdiet,36
2007-25486,Dix Tirrell,1999-04-04,Bachelor of Science in Agricultural Engineering,cras pellentesque volutpat,92
2019-06849,Lyndsay Knightsbridge,1995-12-08,Bachelor of Science in Food Technology,ridiculus mus,80
2019-59874,Jojo Wiles,1991-02-02,Bachelor of Science in Botany,at nulla suspendisse,161
1998-11483,Tiphani Mecchi,1999-06-08,Bachelor of Science in Agricultural Chemistry,eu pede,55
2016-70749,Sianna Videan,1999-07-19,Bachelor of Science in Biology,lorem,191
2001-19966,Bat Tinn,1996-06-04,Bachelor of Science in Chemical Engineering,sed magna at,91
1995-70539,Marylynne Abbe,1994-05-28,Bachelor of Science in Agricultural Biotechnology,pede ac,61
2018-62885,Torin Stacy,2000-05-16,Bachelor of Arts in Philosophy,consectetuer adipiscing,158
2014-85067,Farly Oakes,1996-07-26,Bachelor of Science in Computer Science,erat eros viverra,23
2007-51773,Chloris Pray,1992-03-15,Bachelor of Science in Zoology,nisl nunc,71
1995-39263,Rebe Beck,1996-06-20,Bachelor of Science in Zoology,tellus nulla,77
1996-14300,Eb Litchmore,1991-02-11,Bachelor of Arts in Philosophy,purus,124
2018-37309,Karleen Ciraldo,1991-07-09,Bachelor of Science in Agricultural Biotechnology,nulla eget,12
2017-70268,Ennis Keri,1999-12-01,Bachelor of Science in Math and Science Teaching,lobortis sapien,192
2015-99709,Stanfield Bover,1997-03-16,Bachelor of Science in Applied Mathematics,posuere felis sed,98
2017-73677,Henrieta Humm,1996-03-28,Bachelor of Science in Home Technology,mauris sit amet,92
2012-89873,Dunc Ivanyutin,1990-02-12,Bachelor of Science in Agricultural Engineering,elementum,125
2008-31185,Wilfrid Berthouloume,1997-10-20,Bachelor of Science in Computer Science,lectus,156
2017-07240,Shandra MacCurley,1997-07-07,Bachelor of Agriculture,ridiculus mus etiam,159
2018-76346,Archambault Kempstone,1996-05-22,Bachelor of Science in Forest Products Engineering,interdum,183
1993-96847,Claybourne Cormack,2000-10-10,Bachelor of Arts in Communication Arts,tortor eu pede,173
2018-59562,Mady Tenpenny,1993-10-08,Bachelor of Science in Applied Physics,nibh,31
2005-18564,Ariadne O'Crigane,1992-03-13,Bachelor of Science in Biology,posuere cubilia,91
2018-95255,Maximilien Beamson,1997-06-24,Bachelor of Science in Mathematics,nulla quisque arcu,12
2011-47448,Bianka Mumby,1995-12-12,Bachelor of Science in Agricultural Economics,purus sit,94
2016-89764,Kermie Mayall,1995-11-10,Bachelor of Science in Agricultural Extension,ultrices,51
1997-21018,Harmonie Venour,1993-02-07,Bachelor of Science in Chemistry,venenatis lacinia aenean,164
2010-14706,Ruttger MacInerney,1990-05-30,Bachelor of Science in Chemical Engineering,pede malesuada in,58
2000-64732,Craggie Gantley,2000-11-24,Bachelor of Science in Agricultural Education,felis,83
2014-18896,Ambrosio Durgan,1997-10-18,Bachelor of Science in Agricultural Business,eget,10
1995-29920,Aguistin Shires,1993-07-06,Bachelor of Arts in Philosophy,phasellus,80
2017-24789,Gunther Gabby,1999-03-29,Bachelor of Science in Civil Engineering,suspendisse ornare,59
1997-41927,Katy Farmer,1999-05-24,Bachelor of Science in Agricultural Extension,dolor vel,142
2008-91114,Yvon Dallman,1995-01-20,Bachelor of Agriculture,dictumst aliquam augue,86
2019-87949,Maurise Covolini,2000-01-20,Bachelor of Science in Agricultural Biotechnology,eu,20
2005-02595,Rodolfo Drackford,2000-02-06,Bachelor of Science in Agricultural Chemistry,morbi non quam,132
2019-58145,Mandel Ishchenko,1995-06-23,Bachelor of Science in Applied Physics,aliquet massa id,82
2005-39769,Butch Dacombe,1996-06-12,Bachelor of Science in Agricultural Education,cras mi,93
1994-52554,Corie Loughton,1995-06-28,Bachelor of Science in Botany,nullam varius,106
2009-72415,Karoline Hedworth,1994-10-23,Bachelor of Science in Agricultural and Biosystems Engineering,luctus et ultrices,136
2000-47398,Dino Cuppleditch,1995-07-09,Bachelor of Science in Chemistry,rhoncus mauris,138
2019-82302,Granger Lohmeyer,1990-11-15,Bachelor of Science in Biology,tellus,195
2017-83429,Onfroi Efford,1997-06-28,Bachelor of Science in Chemical Engineering,nisi vulputate,19
2013-10609,Drucill Warboy,1997-05-28,Bachelor of Arts in Philosophy,justo,23
2018-53001,Isaac Roderham,1991-01-17,Bachelor of Science in Sugar Technology,amet diam,141
2019-01005,Alejandra Croser,1990-12-28,Bachelor of Science in Industrial Engineering,primis in,188
2014-55352,Dinny Hazeup,1994-06-03,Bachelor of Science in Development Communication,libero convallis,83
2010-96631,Cloris Spurrett,1993-02-10,Bachelor of Science in Industrial Engineering,risus auctor,152
1997-53975,Carolyn Uebel,1998-07-22,Bachelor of Science in Agricultural Biotechnology,orci nullam molestie,177
2012-63565,Vonny Goodlet,1993-02-23,Bachelor of Science in Human Ecology,turpis nec euismod,38
2012-44318,Emmott Blatchford,1995-07-13,Bachelor of Science in Agricultural Business,sollicitudin ut,11
2003-24691,Pen Roebottom,1991-05-09,Bachelor of Science in Electrical Engineering,nulla,192
2002-43014,Pall Fookes,1993-11-30,Bachelor of Science in Forest Products Engineering,cubilia,195
2010-19640,Aldin Steen,1997-08-17,Bachelor of Science in Computer Science,vestibulum velit,39
2019-71183,Stanislas Adney,1998-06-09,Bachelor of Arts in Communication Arts,nullam orci pede,58
2010-12215,Hilliard Folds,1995-10-24,Bachelor of Science in Agricultural Business,morbi sem,60
1997-69442,Templeton Arpur,1996-03-08,Bachelor of Arts in Communication Arts,volutpat erat,5
2003-17675,Margret Abbett,1990-01-18,Bachelor of Science in Civil Engineering,maecenas pulvinar lobortis,107
1996-84684,Gradeigh Clemencet,1995-07-09,Bachelor of Science in Civil Engineering,porttitor pede,23
2014-33120,Fraze Cocozza,1993-07-07,Bachelor of Agriculture,massa,111
2014-36125,Rowena Sextie,1998-08-06,Bachelor of Science in Forestry,nulla elit ac,187
2018-29718,Saxon Dreigher,1991-07-08,Bachelor of Arts in Communication Arts,convallis duis consequat,174
1995-42306,Elicia Kauscher,1995-10-11,Bachelor of Science in Industrial Engineering,sapien in,73
2007-23098,Jerrine Madle,1994-11-14,Bachelor of Science in Agricultural Engineering,congue etiam,180
2018-44306,Germain Cahill,1994-07-29,Bachelor of Science in Development Communication,sapien a libero,25
2019-42518,Rory Bantick,1997-10-13,Bachelor of Science in Human Ecology,elementum nullam,18
